"","ec_mean","ec_se","uct_mean","uct_se","ucm_mean","ucm_se","ccpt_mean","ccpt_se","ccpm_mean","ccpm_se","n_reps","day","plateloc","group"
"1",1328786.4,70753.0009728209,802.6,184.481597998283,7.16607142857143,1.64715712498467,0.0596278600689608,0.0120813010924851,0.000532391607758579,0.000107868759754332,5,NA,NA,"ref"
"2",450194,NA,893,NA,8.11818181818182,NA,0.197966245979157,NA,0.00179969314526506,NA,1,50,"A1","COPR"
"3",377924,NA,714,NA,6.49090909090909,NA,0.188570613620397,NA,0.00171427830563998,NA,1,50,"E6","COPR"
"4",188543,NA,3668,NA,33.3454545454545,NA,1.90831950304613,NA,0.0173483591186012,NA,1,50,"F8","COPR"
"5",278893,35803.5130445789,53.3333333333333,7.44610263456289,0.484848484848485,0.0676918421323899,0.0192282591010065,0.00210638917165277,0.000174802355463696,0.0000191489924695706,3,0,"A1","ancestral"
"6",315070.333333333,18349.7175485377,16,1.15470053837925,0.145454545454545,0.0104972776216296,0.00513353512915302,0.000597381172388046,0.0000466685011741184,0.00000543073793080042,3,0,"E6","ancestral"
"7",254789.666666667,18092.3429875121,23.3333333333333,8.35330939076111,0.212121212121212,0.0759391762796465,0.00911664204319959,0.00312967753682482,0.0000828785640290872,0.0000284516139711348,3,0,"F8","ancestral"
"8",172915.333333333,18262.7667156735,30.3333333333333,8.64741451404856,0.275757575757576,0.0786128592186233,0.016909835872861,0.00303142804453271,0.000153725780662372,0.0000275584367684792,3,50,"A1","SALT"
"9",296522,24235.2909411049,121.666666666667,51.7182538160153,1.10606060606061,0.470165943781957,0.0406950459703632,0.0164784876792166,0.000369954963366939,0.000149804433447424,3,50,"E6","SALT"
"10",193294,11227.4666925951,63,15.502687938978,0.572727272727273,0.140933526717982,0.0332507763825487,0.00866553308701733,0.000302279785295897,0.0000787775735183393,3,50,"F8","SALT"
